Procedure Url,Procedure Title,Procedure Description,Procedure Include,Procedure Factors,Treatment Name,Minimum Cost,Maximum Cost
https://www.vaidam.com/search/device-closure-for-asd/germany, Device Closure For Asd Cost In Germany , ,[],[],['Device Closure- ASD VSD'],[None],[None]
https://www.vaidam.com/search/device-closure-for-asd/united-arab-emirates, Device Closure For Asd Cost In United Arab Emirates , ,[],[],[],[],[]
https://www.vaidam.com/search/heart-transplant/india, Heart Transplant Cost In India , Heart Transplant cost in India for Indian Patients is between Rs.2220000 to Rs.2960000. Cost for International patients is between USD 45000 to USD 55000. Patient has to stay in the hospital for 20 days and outside the hospital for 10 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"[' Preoperative diagnostic tests cost [some tests that may be required, including Echocardiogram, Electrocardiogram, Heart catheterization, Chest x-ray, etc.] ', ' The surgery cost ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost (Immunosuppressants, Pain Killers, Antibiotics, etc.) ', ' Cost of immunosuppressant injections (if required) ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Additional tests may be needed ', ' Post-surgical complication, if it happens (such as rejection, cardiac allograft vasculopathy, graft dysfunction, chronic kidney disease (CKD), etc.)\xa0 ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital due to any health reason apart from the package stay period ', ' Cost of accommodation during follow-ups, in case the patient is not a local resident ']","['Heart Transplant', 'Transposition of the Great Arteries (TGA) Surgery', 'Heart Implants']","[2220000, 199800, 244200]","[2960000, 266400, 325600]"
https://www.vaidam.com/search/heart-transplant/turkey, Heart Transplant Cost In Turkey , Heart Transplant cost in Turkey is between USD 85500 to USD 104500. Patient has to stay in the hospital for 14 days and outside the hospital for 20 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"[' Preoperative diagnostic tests cost [some tests that may be required, including Echocardiogram, Electrocardiogram, Heart catheterization, Chest x-ray, etc.] ', ' The surgery cost ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost (Immunosuppressants, Pain Killers, Antibiotics, etc.) ', ' Cost of immunosuppressant injections (if required) ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Additional tests may be needed ', ' Post-surgical complication, if it happens (such as rejection, cardiac allograft vasculopathy, graft dysfunction, chronic kidney disease (CKD), etc.)\xa0 ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital due to any health reason apart from the package stay period ', ' Cost of accommodation during follow-ups, in case the patient is not a local resident ']",['Heart Transplant'],[None],[None]
https://www.vaidam.com/search/heart-transplant/thailand, Heart Transplant Cost In Thailand , ,"[' Preoperative diagnostic tests cost [some tests that may be required, including Echocardiogram, Electrocardiogram, Heart catheterization, Chest x-ray, etc.] ', ' The surgery cost ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost (Immunosuppressants, Pain Killers, Antibiotics, etc.) ', ' Cost of immunosuppressant injections (if required) ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Additional tests may be needed ', ' Post-surgical complication, if it happens (such as rejection, cardiac allograft vasculopathy, graft dysfunction, chronic kidney disease (CKD), etc.)\xa0 ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital due to any health reason apart from the package stay period ', ' Cost of accommodation during follow-ups, in case the patient is not a local resident ']",[],[],[]
https://www.vaidam.com/search/heart-transplant/malaysia, Heart Transplant Cost In Malaysia , Heart Transplant cost in Malaysia is between USD 90000 to USD 110000. Patient has to stay in the hospital for 14 days and outside the hospital for 20 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"[' Preoperative diagnostic tests cost [some tests that may be required, including Echocardiogram, Electrocardiogram, Heart catheterization, Chest x-ray, etc.] ', ' The surgery cost ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost (Immunosuppressants, Pain Killers, Antibiotics, etc.) ', ' Cost of immunosuppressant injections (if required) ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Additional tests may be needed ', ' Post-surgical complication, if it happens (such as rejection, cardiac allograft vasculopathy, graft dysfunction, chronic kidney disease (CKD), etc.)\xa0 ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital due to any health reason apart from the package stay period ', ' Cost of accommodation during follow-ups, in case the patient is not a local resident ']","['Heart Transplant', 'Transposition of the Great Arteries (TGA) Surgery', 'Heart Implants']","[None, None, None]","[None, None, None]"
https://www.vaidam.com/search/heart-transplant/germany, Heart Transplant Cost In Germany , ,"[' Preoperative diagnostic tests cost [some tests that may be required, including Echocardiogram, Electrocardiogram, Heart catheterization, Chest x-ray, etc.] ', ' The surgery cost ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost (Immunosuppressants, Pain Killers, Antibiotics, etc.) ', ' Cost of immunosuppressant injections (if required) ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Additional tests may be needed ', ' Post-surgical complication, if it happens (such as rejection, cardiac allograft vasculopathy, graft dysfunction, chronic kidney disease (CKD), etc.)\xa0 ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital due to any health reason apart from the package stay period ', ' Cost of accommodation during follow-ups, in case the patient is not a local resident ']",['Heart Implants'],[None],[None]
https://www.vaidam.com/search/heart-transplant/united-arab-emirates, Heart Transplant Cost In United Arab Emirates , ,"[' Preoperative diagnostic tests cost [some tests that may be required, including Echocardiogram, Electrocardiogram, Heart catheterization, Chest x-ray, etc.] ', ' The surgery cost ', ' Post-Operative cost (depends on the number of follow-up sessions) ', ' Medicine cost (Immunosuppressants, Pain Killers, Antibiotics, etc.) ', ' Cost of immunosuppressant injections (if required) ', "" Patient's hospital stay ""]","[' Type of hospital and room opted (General, Twin sharing, or single room) ', ' The severity of the disease ', ' Additional tests may be needed ', ' Post-surgical complication, if it happens (such as rejection, cardiac allograft vasculopathy, graft dysfunction, chronic kidney disease (CKD), etc.)\xa0 ', ' Cost of Blood products (if required) ', ' An extended stay at the Hospital due to any health reason apart from the package stay period ', ' Cost of accommodation during follow-ups, in case the patient is not a local resident ']",[],[],[]
https://www.vaidam.com/search/pacemaker/india, Pacemaker Cost In India , ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)]', 'Procedure cost', 'Type of pacemaker used [Single-chamber, Dual-chamber, or Cardiac resynchronization therapy - pacemaker (CRT-P) (used in patients ≥ 90 years of age)]', 'Post-procedure cost (depends on the number of follow-up sessions)', 'Cost of medication', ""Patient's hospital stay""]","['Type of hospital and room opted (General, Twin sharing, or single room)', 'Post-procedure complications [include pocket bleeding (hematoma), pneumothorax, cardiac injury or tamponade, lead dislodgement, deep venous thrombosis, infection (especially life-threatening endocarditis and lead or device malfunctions), etc.]', 'Cost of blood products (if required)', 'An extended stay at the hospital', 'Cost of accommodation during follow-ups, in case the patient is not a local resident']","['PPI-Permanent Pacemaker Implant - Double Chamber', 'Angioplasty and Stent Placement', 'Biventricular Pacing', 'PPI-Permanent Pacemaker Implant - Single Chamber']","[244200, 164280, 222000, 142080]","[325600, 219040, 296000, 189440]"
https://www.vaidam.com/search/pacemaker/turkey, Pacemaker Cost In Turkey , ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)]', 'Procedure cost', 'Type of pacemaker used [Single-chamber, Dual-chamber, or Cardiac resynchronization therapy - pacemaker (CRT-P) (used in patients ≥ 90 years of age)]', 'Post-procedure cost (depends on the number of follow-up sessions)', 'Cost of medication', ""Patient's hospital stay""]","['Type of hospital and room opted (General, Twin sharing, or single room)', 'Post-procedure complications [include pocket bleeding (hematoma), pneumothorax, cardiac injury or tamponade, lead dislodgement, deep venous thrombosis, infection (especially life-threatening endocarditis and lead or device malfunctions), etc.]', 'Cost of blood products (if required)', 'An extended stay at the hospital', 'Cost of accommodation during follow-ups, in case the patient is not a local resident']","['PPI-Permanent Pacemaker Implant - Double Chamber', 'Angioplasty and Stent Placement', 'Biventricular Pacing', 'PPI-Permanent Pacemaker Implant - Single Chamber']","[None, None, None, None]","[None, None, None, None]"
https://www.vaidam.com/search/pacemaker/thailand, Pacemaker Cost In Thailand , ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)]', 'Procedure cost', 'Type of pacemaker used [Single-chamber, Dual-chamber, or Cardiac resynchronization therapy - pacemaker (CRT-P) (used in patients ≥ 90 years of age)]', 'Post-procedure cost (depends on the number of follow-up sessions)', 'Cost of medication', ""Patient's hospital stay""]","['Type of hospital and room opted (General, Twin sharing, or single room)', 'Post-procedure complications [include pocket bleeding (hematoma), pneumothorax, cardiac injury or tamponade, lead dislodgement, deep venous thrombosis, infection (especially life-threatening endocarditis and lead or device malfunctions), etc.]', 'Cost of blood products (if required)', 'An extended stay at the hospital', 'Cost of accommodation during follow-ups, in case the patient is not a local resident']","['PPI-Permanent Pacemaker Implant - Double Chamber', 'Angioplasty and Stent Placement']","[None, None]","[None, None]"
https://www.vaidam.com/search/pacemaker/malaysia, Pacemaker Cost In Malaysia , ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)]', 'Procedure cost', 'Type of pacemaker used [Single-chamber, Dual-chamber, or Cardiac resynchronization therapy - pacemaker (CRT-P) (used in patients ≥ 90 years of age)]', 'Post-procedure cost (depends on the number of follow-up sessions)', 'Cost of medication', ""Patient's hospital stay""]","['Type of hospital and room opted (General, Twin sharing, or single room)', 'Post-procedure complications [include pocket bleeding (hematoma), pneumothorax, cardiac injury or tamponade, lead dislodgement, deep venous thrombosis, infection (especially life-threatening endocarditis and lead or device malfunctions), etc.]', 'Cost of blood products (if required)', 'An extended stay at the hospital', 'Cost of accommodation during follow-ups, in case the patient is not a local resident']","['PPI-Permanent Pacemaker Implant - Double Chamber', 'Angioplasty and Stent Placement', 'Biventricular Pacing', 'PPI-Permanent Pacemaker Implant - Single Chamber']","[None, None, None, None]","[None, None, None, None]"
https://www.vaidam.com/search/pacemaker/germany, Pacemaker Cost In Germany , ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)]', 'Procedure cost', 'Type of pacemaker used [Single-chamber, Dual-chamber, or Cardiac resynchronization therapy - pacemaker (CRT-P) (used in patients ≥ 90 years of age)]', 'Post-procedure cost (depends on the number of follow-up sessions)', 'Cost of medication', ""Patient's hospital stay""]","['Type of hospital and room opted (General, Twin sharing, or single room)', 'Post-procedure complications [include pocket bleeding (hematoma), pneumothorax, cardiac injury or tamponade, lead dislodgement, deep venous thrombosis, infection (especially life-threatening endocarditis and lead or device malfunctions), etc.]', 'Cost of blood products (if required)', 'An extended stay at the hospital', 'Cost of accommodation during follow-ups, in case the patient is not a local resident']","['PPI-Permanent Pacemaker Implant - Double Chamber', 'Angioplasty and Stent Placement']","[None, None]","[None, None]"
https://www.vaidam.com/search/pacemaker/united-arab-emirates, Pacemaker Cost In United Arab Emirates , ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)]', 'Procedure cost', 'Type of pacemaker used [Single-chamber, Dual-chamber, or Cardiac resynchronization therapy - pacemaker (CRT-P) (used in patients ≥ 90 years of age)]', 'Post-procedure cost (depends on the number of follow-up sessions)', 'Cost of medication', ""Patient's hospital stay""]","['Type of hospital and room opted (General, Twin sharing, or single room)', 'Post-procedure complications [include pocket bleeding (hematoma), pneumothorax, cardiac injury or tamponade, lead dislodgement, deep venous thrombosis, infection (especially life-threatening endocarditis and lead or device malfunctions), etc.]', 'Cost of blood products (if required)', 'An extended stay at the hospital', 'Cost of accommodation during follow-ups, in case the patient is not a local resident']",[],[],[]
https://www.vaidam.com/search/valve-replacement/india, Valve Replacement Cost In India , Valve Replacement cost in India for Indian Patients is between Rs.244200 to Rs.325600. Cost for International patients is between USD 4950 to USD 6050. Patient has to stay in the hospital for 8 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)].\xa0', 'Surgery cost (cost is different for different types of the valve)', 'Type of Valve (2 variables are available - Mechanical valve and Tissue Valve) Post-Operative cost (depends on the number of follow-up sessions)', 'Medicine cost (blood thinners, antibiotics, etc.)', ""Patient's hospital stay.""]","['Type of hospital and room opted (General, Twin sharing, or Single room)', 'The severity of the disease', 'Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.)', 'Cost of Blood products (if required)', 'An extended stay at the Hospital', 'Cost of Accommodation during follow-ups, in case the patient is not a local resident']","['Valve Replacement', 'Mitral Valve Replacement', 'Aortic Valve replacement - Mechanical Valve', 'Aortic Valve replacement - Tissue Valve', 'Mitral Valve replacement - Mechanical Valve', 'Mitral Valve replacement - Tissue Valve', 'Heart Double Valve Replacement', 'Aortic Valve Repair', 'Mitral Valve Repair', 'Balloon Valvuloplasty - Aortic', 'Valve Repair Replacement']","[244200, 275280, 355200, 253080, 386280, 288600, 355200, 165000, 88800, 177600, 310800]","[325600, 367040, 473600, 337440, 515040, 384800, 473600, 220000, 118400, 236800, 414400]"
https://www.vaidam.com/search/valve-replacement/turkey, Valve Replacement Cost In Turkey , Valve Replacement cost in Turkey is between USD 10800 to USD 13200. Patient has to stay in the hospital for 8 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)].\xa0', 'Surgery cost (cost is different for different types of the valve)', 'Type of Valve (2 variables are available - Mechanical valve and Tissue Valve) Post-Operative cost (depends on the number of follow-up sessions)', 'Medicine cost (blood thinners, antibiotics, etc.)', ""Patient's hospital stay.""]","['Type of hospital and room opted (General, Twin sharing, or Single room)', 'The severity of the disease', 'Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.)', 'Cost of Blood products (if required)', 'An extended stay at the Hospital', 'Cost of Accommodation during follow-ups, in case the patient is not a local resident']","['Valve Replacement', 'Mitral Valve Replacement', 'Aortic Valve replacement - Mechanical Valve', 'Mitral Valve replacement - Mechanical Valve', 'Heart Double Valve Replacement', 'Aortic Valve Repair', 'Mitral Valve Repair', 'Balloon Valvuloplasty - Aortic']","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]"
https://www.vaidam.com/search/valve-replacement/thailand, Valve Replacement Cost In Thailand , Valve Replacement cost in Thailand is between USD 9900 to USD 12100. Patient has to stay in the hospital for 8 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)].\xa0', 'Surgery cost (cost is different for different types of the valve)', 'Type of Valve (2 variables are available - Mechanical valve and Tissue Valve) Post-Operative cost (depends on the number of follow-up sessions)', 'Medicine cost (blood thinners, antibiotics, etc.)', ""Patient's hospital stay.""]","['Type of hospital and room opted (General, Twin sharing, or Single room)', 'The severity of the disease', 'Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.)', 'Cost of Blood products (if required)', 'An extended stay at the Hospital', 'Cost of Accommodation during follow-ups, in case the patient is not a local resident']","['Valve Replacement', 'Mitral Valve Replacement', 'Heart Double Valve Replacement']","[None, None, None]","[None, None, None]"
https://www.vaidam.com/search/valve-replacement/malaysia, Valve Replacement Cost In Malaysia , Valve Replacement cost in Malaysia is between USD 9900 to USD 12100. Patient has to stay in the hospital for 8 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)].\xa0', 'Surgery cost (cost is different for different types of the valve)', 'Type of Valve (2 variables are available - Mechanical valve and Tissue Valve) Post-Operative cost (depends on the number of follow-up sessions)', 'Medicine cost (blood thinners, antibiotics, etc.)', ""Patient's hospital stay.""]","['Type of hospital and room opted (General, Twin sharing, or Single room)', 'The severity of the disease', 'Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.)', 'Cost of Blood products (if required)', 'An extended stay at the Hospital', 'Cost of Accommodation during follow-ups, in case the patient is not a local resident']","['Valve Replacement', 'Mitral Valve Replacement', 'Heart Double Valve Replacement', 'Balloon Valvuloplasty - Aortic']","[None, None, None, None]","[None, None, None, None]"
https://www.vaidam.com/search/valve-replacement/germany, Valve Replacement Cost In Germany , Valve Replacement cost in Germany is between USD 54000 to USD 66000. Patient has to stay in the hospital for 8 days and outside the hospital for 15 days. The total cost of the treatment depends on the diagnosis and facilities opted by the patient. ,"['Preoperative diagnostic tests cost [blood tests, a chest X-ray, an echocardiogram (ECG) and an electrocardiogram (EKG)].\xa0', 'Surgery cost (cost is different for different types of the valve)', 'Type of Valve (2 variables are available - Mechanical valve and Tissue Valve) Post-Operative cost (depends on the number of follow-up sessions)', 'Medicine cost (blood thinners, antibiotics, etc.)', ""Patient's hospital stay.""]","['Type of hospital and room opted (General, Twin sharing, or Single room)', 'The severity of the disease', 'Post-surgical complication, if it happens (such as bleeding, blood clot, infection, etc.)', 'Cost of Blood products (if required)', 'An extended stay at the Hospital', 'Cost of Accommodation during follow-ups, in case the patient is not a local resident']","['Valve Replacement', 'Mitral Valve Replacement', 'Heart Double Valve Replacement', 'Single Bypass and Valve Replacement']","[None, None, None, None]","[None, None, None, None]"
